Date	Time	Samples	Channel0	Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7
2021-07-12	17:07:27:145	50	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:27:248	51	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:27:352	52	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:27:456	53	1.7511	0.0031	1.7438	1.7393	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:27:560	54	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:27:664	55	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:27:767	56	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:27:871	57	1.7511	0.0031	1.7489	1.7393	1.7466	1.7429	1.7455	1.7383
2021-07-12	17:07:27:975	58	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:28:079	59	1.7511	0.0031	1.7489	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:28:182	60	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:28:286	61	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:28:390	62	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:28:494	63	1.7511	0.0031	1.7489	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:28:598	64	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:28:701	65	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:28:805	66	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:28:908	67	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:29:011	68	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:29:115	69	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:29:219	70	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:29:322	71	1.7511	0.0031	1.7438	1.7393	1.7466	1.748	1.7455	1.7383
2021-07-12	17:07:29:426	72	1.7511	0.0031	1.7489	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:29:529	73	1.7511	0.0031	1.7489	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:29:632	74	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:29:736	75	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:29:839	76	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7404	1.7434
2021-07-12	17:07:29:943	77	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:30:046	78	1.7511	0.0031	1.7489	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:30:150	79	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:30:253	80	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:30:357	81	1.7511	0.0031	1.7489	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:30:460	82	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:30:563	83	1.7511	-0.0021	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:30:667	84	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:30:770	85	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7404	1.7434
2021-07-12	17:07:30:874	86	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:30:977	87	1.7511	0.0031	1.7489	1.7444	1.7466	1.7531	1.7455	1.7434
2021-07-12	17:07:31:080	88	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:31:184	89	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-12	17:07:31:288	90	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:31:391	91	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:31:497	92	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:31:603	93	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-12	17:07:31:708	94	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:31:814	95	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:31:919	96	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-12	17:07:32:024	97	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:32:129	98	1.7511	0.0031	1.7489	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:32:233	99	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:32:341	100	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:32:446	101	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:32:550	102	1.7511	0.0031	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:32:655	103	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7404	1.7434
2021-07-12	17:07:32:759	104	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:32:864	105	1.7511	0.0031	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-12	17:07:32:969	106	1.7511	0.0031	1.7438	1.7444	1.7518	1.748	1.7455	1.7434
2021-07-12	17:07:33:072	107	1.7511	0.0031	1.7489	1.7444	1.7518	1.7429	1.7455	1.7434
2021-07-12	17:07:33:176	108	1.7511	0.0031	1.7489	1.7444	1.7466	1.7531	1.7455	1.7434
2021-07-12	17:07:33:279	109	1.7511	0.0031	1.7489	1.7496	1.7518	1.748	1.7455	1.7434
